cmpdname,isosmiles
Myriocin,CCCCCCC(=O)CCCCCC/C=C/C[C@H]([C@@H]([C@@](CO)(C(=O)O)N)O)O
Palitantin,CCC/C=C/C=C/[C@@H]1C[C@H]([C@H](C(=O)[C@H]1CO)O)O
Isochromophilone II,CC[C@H](C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)[C@]([C@@H](C2=CO1)CC(=O)C)(C)O)Cl
Rustmicin,CC[C@H]1/C(=C/C(=C)C[C@@H](/C=C(/CC(C(=O)[C@H](C(=O)O1)C)(CO)O)\\OC)C)/C
Epiderstatin,C[C@H]\\1C[C@@H](C(=O)N/C1=C\\C(=O)CC2CC(=O)NC(=O)C2)C
Cibaric acid,C(CCC/C=C\\CC(=O)/C=C(/C=C/CCO)\\O)CCCC(=O)O
Sapurimycin,C/C=C\\[C@H]1[C@@](O1)(C)C2=CC(=O)C3=C(O2)C4=C(C=C3CC(=O)O)C(=O)C5=C(C=CC(=C5C4=O)O)O
Mazethramycin,CC1=C(C2=C(C=C1)C(=O)N3CC(=CC3C(N2)O)/C=C/C(=O)NC)O
Trichostatin C,C[C@H](/C=C(\\C)/C=C/C(=O)NO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C(=O)C2=CC=C(C=C2)N(C)C
Podoscyphic acid,CCCCCCCCCCCC(=O)C(=O)/C=C/C(=O)O
5-Hydroxy-3-methoxy-2-pentenoic acid,CO/C(=C/C(=O)O)/CCO
Obscurolide A1,CC(/C=C/C1C(CC(=O)O1)NC2=CC=C(C=C2)C(=O)O)O
Obscurolide A4,CC(/C=C/C1C(CC(=O)O1)NC2=CC=C(C=C2)COC)O
(E)-3-(2-Methylphenyl)-2-propenamide,CC1=CC=CC=C1/C=C/C(=O)N
Neorustmicin A,CC[C@H]1/C(=C/C(=C)C[C@@H](/C=C(/C[C@@](C(=O)[C@H](C(=O)O1)C)(CO)O)\\C)C)/C
CID 6438867,CCCC/C=C/C=C/C=C/C=N\\NN=O
Pironetin,CC[C@@H]1C=CC(=O)O[C@@H]1C[C@H]([C@H](C)[C@@H]([C@@H](C)C/C=C/C)OC)O
"2-Propenamide, 3-(5-(acetyloxy)-4,5-dihydro-3-furanyl)-N-(2-hydroxy-5-oxo-1-cyclopenten-1-yl)-, (E)-(+)-",CC(=O)OC1CC(=CO1)/C=C/C(=O)NC2=C(CCC2=O)O
Maniwamycin A,CCCC/C=C/[N+](=N[C@@H](C)C(=O)C)[O-]
"4-[(E)-2-nitroethenyl]benzene-1,2-diol",C1=CC(=C(C=C1/C=C/[N+](=O)[O-])O)O
Phthoxazolin,C/C(=C/C=C\\C=C\\CC1=CN=CO1)/[C@H](C(C)(C)C(=O)N)O
"5,6-Dihydro-5-hydroxy-6-(6-hydroxy-5-methyl-4-hydroxysulfonyloxyheptadec-1,7,9,11-tetraenyl)-2H-pyran-2-one",CCCCC/C=C/C=C/C=C/C(C(C)C(C/C=C/C1C(C=CC(=O)O1)O)OS(=O)(=O)O)O
Eurystatin B,CCC(C)CC/C=C/C(=O)NC1CCCNC(=O)C(NC(=O)C(=O)C(NC1=O)C)CC(C)C
"6-Eicosenoic acid, 2-amino-3,4,5-trihydroxy-2-methyl-14-oxo-",CCCCCCC(=O)CCCCCC/C=C/C(C(C(C(C)(C(=O)O)N)O)O)O
Mycestericin D,CCCCCCC(=O)CCCCCC/C=C/CC[C@@H]([C@@](CO)(C(=O)O)N)O
"3,5-Dihydroxy-4-isopropylstilbene",CC(C)C1=C(C=C(C=C1O)/C=C/C2=CC=CC=C2)O
Basidalin,C1=C(/C(=C\\C=O)/OC1=O)N
Antibiotic U-62162,CC(CC(C)C=C(C)C)/C=C/C(=O)NC1=CC(C2C(C1=O)O2)(CCCCC(=O)O)O
Antibiotic PS 8,CC(C)C1C2CC(=C(N2C1=O)C(=O)O)S/C=C/NC(=O)C
"Formamide, N-(2-(4-hydroxyphenyl)ethenyl)-, (Z)-",C1=CC(=CC=C1/C=C\\NC=O)O
"4-Ethyl-2,4-hexadienecarboxamide",CC/C(=C\\C)/C=C/C(=O)N
Pyrenocin C,C/C=C/C(C1=C(OC(=O)C=C1OC)C)O
Vermiculinic acid,CC(=O)C[C@H](CCC(=O)/C=C/C(=O)O)OC(=O)/C=C/C(=O)CC/C=C/C(=O)C
Lapidosin,CC(=O)/C=C(/C1=COC2=C(C1=O)C(=CC(=C2O)OC)C(=O)OC)\\O
"Benzoic acid, 3-methoxy-5-methyl-4-(1-oxo-2-butenyl)-",C/C=C/C(=O)C1=C(C=C(C=C1C)C(=O)O)OC
"1(2H)-Naphthalenone, octahydro-2,7-dihydroxy-3-((1R)-1-(hydroxymethyl)propyl)-4-((2Z)-3-hydroxy-1-oxo-2-propenyl)-2,4,5,7-tetramethyl-, (2S,3R,4R,4aS,5R,7R,8aS)-rel-",CC[C@@H](CO)[C@@H]1[C@]([C@H]2[C@@H](C[C@@](C[C@@H]2C(=O)[C@@]1(C)O)(C)O)C)(C)C(=O)/C=C\\O
"5-Hexenoic acid, 6-(4-chloro-3-methoxyphenyl)-4-methoxy-2-(methoxymethylene)-3-methyl-, methyl ester, (2E,3S,4S,5E)-",C[C@H]([C@H](/C=C/C1=CC(=C(C=C1)Cl)OC)OC)/C(=C\\OC)/C(=O)OC
"2,4,6,8,10,12-Tetradecahexaenedial",C(=C/C=C/C=C/C=O)\\C=C\\C=C\\C=C\\C=O
Strobilurin F,CC(=CCOC1=C(C=C(C=C1)/C=C/C=C(/C)\\C(=C/OC)\\C(=O)OC)O)C
Lankacidin C,C[C@@H]1[C@H]2C[C@@H](/C=C/C(=C/C[C@@H](/C=C/C(=C/[C@H]([C@@](C1=O)(C(=O)O2)C)NC(=O)C(=O)C)/C)O)/C)O
Zeatin riboside,C/C(=C\\CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)/CO
L-2-Amino-4-methoxy-trans-3-butenoic acid,CO/C=C/[C@@H](C(=O)O)N
Xanthocillin X monomethyl ether,COC1=CC=C(C=C1)/C=C(/C(=C/C2=CC=C(C=C2)O)/[N+]#[C-])\\[N+]#[C-]
7-Dehydrobrefeldin A,C[C@H]1CCC/C=C/[C@@H]2CC(=O)C[C@H]2[C@@H](/C=C/C(=O)O1)O
Strobilurin B,C/C(=C/C=C/C1=CC(=C(C=C1)Cl)OC)/C(=C\\OC)/C(=O)OC
Triticone A,CC/C=C\\1/C=CC(=O)[C@H](C12C(=O)C(=C)N(C2=O)OC)O
Strobilurin H,C/C(=C/C=C/C1=CC(=CC=C1)OC)/C(=C\\OC)/C(=O)OC
Lyngbyatoxin C,CC(C)[C@H]1C(=O)N[C@@H](CC2=CNC3=C(C=CC(=C23)N1C)[C@](C)(C/C=C/C(C)(C)O)C=C)CO
3-(Methylsulfanyl)prop-2-enoic acid,CS/C=C/C(=O)O
Triacsin A,CCCCCC/C=C/C=C/C=N\\NN=O
Triacsin B,CC/C=C/C=C/C=C/C=C/C=N\\NN=O
Phomopsolide B,C/C=C(\\C)/C(=O)O[C@H]1C=CC(=O)O[C@H]1/C=C/[C@@H]([C@H](C)O)O
"2H-Pyran-5-carboxaldehyde, 3-(hydroxymethyl)-4-methoxy-2-oxo-6-(1-propenyl)-",C/C=C/C1=C(C(=C(C(=O)O1)CO)OC)C=O
"4,5-di-epi-Cladospolide C",C[C@@H]1CCCCC[C@@H]([C@H](/C=C\\C(=O)O1)O)O
Citreoviral,C[C@@H]1[C@]([C@H]([C@](O1)(C)/C=C(\\C)/C=O)O)(C)O
"methyl (2E,4E,6R,7R)-6,7-dihydroxy-2,6-dimethylocta-2,4-dienoate",C[C@H]([C@@](C)(/C=C/C=C(\\C)/C(=O)OC)O)O
Cavoxin,CCC/C=C/C=C/C(=O)C1=C(C=C(C(=C1O)C(=O)O)CO)OC
"(2Z,3Z)-2,3-bis[(4-methoxyphenyl)methylidene]butanedinitrile",COC1=CC=C(C=C1)/C=C(/C(=C/C2=CC=C(C=C2)OC)/C#N)\\C#N
Flutimide,CC(C)CC1=N/C(=C\\C(C)C)/C(=O)N(C1=O)O
"(1R,3Z,5S,8Z,12Z,15S)-5,17-dihydroxy-18-[(2S)-1-hydroxypropan-2-yl]-4,8,12,15-tetramethylbicyclo[13.3.0]octadeca-3,8,12,17-tetraen-16-one",C/C/1=C/CC/C(=C\\C[C@]2([C@H](C/C=C(\\[C@H](CC1)O)/C)C(=C(C2=O)O)[C@H](C)CO)C)/C
"(1S,2S,4R,5R)-1-[(E)-2-bromoethenyl]-2,4,5-trichloro-1,5-dimethylcyclohexane",C[C@]1(C[C@@]([C@@H](C[C@@H]1Cl)Cl)(C)Cl)/C=C/Br
"(5R,6R)-3-[(E)-2-acetamidoethenyl]sulfinyl-6-(2-hydroxypropan-2-yl)-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",CC(=O)N/C=C/S(=O)C1=C(N2[C@H](C1)[C@@H](C2=O)C(C)(C)O)C(=O)O
"8,12-Dihydroxy-2,4-dodecadienoic acid",C(CCO)CC(CC/C=C/C=C/C(=O)O)O
"8,10,12-Trihydroxy-2,4-dodecadienoic acid",C(CC(CC(CCO)O)O)/C=C/C=C/C(=O)O
Benzomalvin B,CN1/C(=C/C2=CC=CC=C2)/C3=NC4=CC=CC=C4C(=O)N3C5=CC=CC=C5C1=O
Maytenine,C1=CC=C(C=C1)/C=C/C(=O)NCCCCNCCCNC(=O)/C=C/C2=CC=CC=C2
Isochromophilone VI,CC[C@H](C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)[C@](C(=O)C2=CN1CCO)(C)OC(=O)C)Cl
Isochromophilone VII,CCC(C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)C(C(=O)C2(CO1)O)(C)OC(=O)C)Cl
"2,3-Dihydroalbocycline",C[C@H]1CC/C=C(\\[C@H](/C=C\\[C@@](CCC(=O)O[C@@H]1C)(C)O)OC)/C
Arohynapene A,CC1CC(C2=C(C1O)C=CC(=C2/C=C/C=C/C(=O)O)C)C
Arohynapene B,CC1CC(C2=C(C1)C=CC(=C2/C=C/C=C/C(=O)O)CO)C
Hynapene B,CC1CC(C2C(C1)CC(=O)C(=C2/C=C/C=C/C(=O)O)C)C
Hynapene A,CC1CC(C2C(C1)C(C(C(C2(/C=C/C=C/C(=O)O)O)C)O)O)C
Hynapene C,CC1CC(C2C(C1)C=CC(C2=O)(C)/C=C/C=C/C(=O)O)C
"(5R,6R)-3-[(E)-2-acetamidoethenyl]sulfinyl-7-oxo-6-(2-sulfooxypropan-2-yl)-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",CC(=O)N/C=C/S(=O)C1=C(N2[C@H](C1)[C@@H](C2=O)C(C)(C)OS(=O)(=O)O)C(=O)O
Kobutimycin A,CC1=C/C(=C/C(C(C)OC(=O)C)OC(=O)C(C)C)/C23C1=NCCC2O3
Kobutimycin B,CCC(C)C(=O)OC(/C=C\\1/C=C(C2=NCCC3C12O3)C)C(C)OC(=O)C
Appenolide C,CCC(CCCC/C=C/C1=C(C(=O)OC1)C)O
Nisamycin,C1CCC(CC1)/C=C/C=C/C(=O)NC2=C[C@@]([C@@H]3[C@H](C2=O)O3)(/C=C/C=C/C=C/C(=O)O)O
CID 6444304,CC1=CC2C(CC1)(C3(C(CC(C34CO4)O2)OC(=O)/C=C/C=C/C=C/C(=O)O)C)C
Lagunamycin,CC1=C(C2=C(C(=O)C(=O)C(=[N+]=[N-])C2=O)NC1=O)/C(=C/C(C)CC(C)C)/C
Xanthocillin X dimethyl ether,COC1=CC=C(C=C1)/C=C(\\[N+]#[C-])/C(=C/C2=CC=C(C=C2)OC)/[N+]#[C-]
"7-Ethylidene-1a,2,3,7-tetrahydrocyclopent(b)oxireno(c)pyridine",C/C=C/1\\C=CC2=NCCC3C12O3
Pyrindicine,CC/C=C/C1=C2CC(CN=C2CC1)C
Lankacyclinol A,CC1C(/C=C(\\C=C/C(C/C=C(\\C=C/C(C/C=C(\\C1=O)/C)OC(=O)C)/C)O)/C)NC(=O)C(C)O
Triticone B,CC/C=C\\1/C=CC(=O)[C@H]([C@@]12C(=O)C(=C)N(C2=O)OC)O
N-(3-Hydroxy-1-oxocyclopent-2-en-2-yl)-3-(4-hydroxy-3-methoxyphenyl)propenamide,COC1=C(C=CC(=C1)/C=C/C(=O)NC2=C(CCC2=O)O)O
Luteoreticulin,CC1=C(C=C(OC1=O)/C(=C/C(=C/C2=CC=C(C=C2)[N+](=O)[O-])/C)/C)OC
Platenolide I,CCC1CC(C(=O)/C=C/C=C/CC(OC(=O)CC(C(C1O)OC)O)C)C
Chrysodine,C/C=C/C=C/C=C/C1=CC2=CC(=O)C(C(=O)C2=CO1)(C)OC(=O)C
Isochromophilone III,CC[C@H](C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)[C@]([C@@H]([C@H]2CO1)O)(C)O)Cl
Harziphilone,C/C=C/C=C/C1=CC2=C(CO1)C(=O)[C@]([C@@H](C2)O)(C)O
Isochromophilone IV,CC[C@H](C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)[C@]([C@@H]([C@H]2CO1)OC(=O)C)(C)O)Cl
Glucovanillin,COC1=C(C=CC(=C1)C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
"1H-Indole, 3,3'-ethylidenebis-",CC(C1=CNC2=CC=CC=C21)C3=CNC4=CC=CC=C43
Rubropunctatin,CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@@]2(OC1=O)C)/C=C/C
Cyclo(histidyl-leucyl),CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CN=CN2
"methyl (2E,3E,5E)-3-(hydroxymethyl)-2-(methoxymethylene)-6-phenyl-hexa-3,5-dienoate",CO/C=C(\\C(=C/C=C/C1=CC=CC=C1)\\CO)/C(=O)OC
"6-hydroxy-7E,9E-Octadecadiene-11,13,15,17-tetraynoic acid",C#CC#CC#CC#C/C=C/C=C/C(CCCCC(=O)O)O
"(1R,2R,4S,5R)-4-bromo-1,2-dichloro-5-[(E)-2-chlorovinyl]-1,5-dimethyl-cyclohexane",C[C@@]1(C[C@@]([C@@H](C[C@@H]1Br)Cl)(C)Cl)/C=C/Cl
Galbonolide B,CC[C@H]1/C(=C/C(=C)C[C@@H](/C=C(/CC(C(=O)[C@H](C(=O)O1)C)(CO)O)\\C)C)/C
Crocacin C,C[C@@H](/C=C/C(=C/C(=O)N)/C)[C@@H]([C@H](C)[C@H](/C=C/C1=CC=CC=C1)OC)OC
"(E)-2-methyl-N-(4-methyl-5-oxo-dithiolo[4,3-b]pyrrol-6-yl)but-2-enamide",C/C=C(\\C)/C(=O)NC1=C2C(=CSS2)N(C1=O)C
Pochonin C,C[C@H]1C[C@@H](C(/C=C\\C=C\\C(=O)CC2=C(C(=CC(=C2Cl)O)O)C(=O)O1)Cl)O
"(E,7S)-7-methoxydodec-4-enoic acid",CCCCC[C@@H](C/C=C/CCC(=O)O)OC
"(6S,7R)-6,7-dihydroxy-3-[(2S)-2-hydroxypropyl]-7-methyl-5,6-dihydro-1H-isochromen-8-one",C[C@@H](CC1=CC2=C(CO1)C(=O)[C@]([C@H](C2)O)(C)O)O
Pukeleimide A,CN1/C(=C/C(=O)N2CC(=CC2=O)OC)/C=C(C1=O)CO
"(6E)-9,11-dihydroxy-4-methyl-4,5-dihydro-1H-3-benzoxecine-2,8-dione",CC1C/C=C/C(=O)C2=C(CC(=O)O1)C=C(C=C2O)O
Epurpurin C,C1=CC(=CC=C1/C=C(/C(=C/C2=CC=C(C=C2)O)/C#N)\\C#N)O
Integric acid,CCCCC(C)/C=C(\\C)/C(=O)O[C@@H]1CC[C@@H]([C@@]2(C1=CC(=O)[C@@H](C2)C(=C)C=O)C)C(=O)O
cyclo(D)-Pro-(D)-Val,CC(C)[C@@H]1C(=O)N2CCC[C@@H]2C(=O)N1
fellutanine A,C1=CC=C2C(=C1)C(=CN2)C[C@@H]3C(=O)N[C@H](C(=O)N3)CC4=CNC5=CC=CC=C54
Isocycloheximide,C[C@H]1C[C@H](C(=O)[C@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
6-Propyl-2h-pyran-2-one,CCCC1=CC=CC(=O)O1
Lactacystin,C[C@@H]1[C@@H]([C@](NC1=O)([C@H](C(C)C)O)C(=O)SC[C@@H](C(=O)O)NC(=O)C)O
"(1R,7S,8R,11R)-7-hydroxy-11-(hydroxymethyl)-15-methyl-12,13-dithia-9,15-diazatetracyclo[9.2.2.01,9.03,8]pentadeca-3,5-diene-10,14-dione",CN1C(=O)[C@]23CC4=CC=C[C@@H]([C@@H]4N2C(=O)[C@]1(SS3)CO)O
CID 6713074,C1=C[C@@]2([C@@H]3[C@H]1[C@@H](OC(=C3)C(=O)N)OC2=O)O
Platensimycin,C[C@]12C[C@]34C[C@H]1C[C@@H]([C@H]3[C@](C(=O)C=C4)(C)CCC(=O)NC5=C(C=CC(=C5O)C(=O)O)O)O2
(Z)-4-[(2-amino-3-methylbutanoyl)amino]-3-chloropent-2-enedioic acid,CC(C)C(C(=O)NC(/C(=C/C(=O)O)/Cl)C(=O)O)N
N-(2-Oxotetrahydrofuran-3-YL)octanamide,CCCCCCCC(=O)N[C@H]1CCOC1=O
Aspergillamide A,CC(C)C[C@@H](C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)N/C=C\\C2=CNC3=CC=CC=C32)NC(=O)C
Aspergillamide B,CC(C)C[C@@H](C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)N/C=C/C2=CNC3=CC=CC=C32)NC(=O)C
"(E)-3-[[(2R)-2,4-dihydroxy-3,3-dimethylbutanoyl]amino]prop-2-enoic acid",CC(C)(CO)[C@H](C(=O)N/C=C/C(=O)O)O
Fumagillin,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C
Coprophilin,C[C@@H]1C[C@@H]2C=C[C@@H]([C@@H]([C@H]2[C@@H]([C@H]1O)C)/C=C/C=C/C(=O)OC)C
Ambruticin,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C
Deoxyfunicone,C/C=C/C1=CC(=O)C(=CO1)C(=O)C2=C(C=C(C=C2OC)OC)C(=O)OC
(s)-2-Amino-3-cyclopropylpropanoic acid,C1CC1C[C@@H](C(=O)O)N
"(3R,8aR)-3-benzyl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",C1C[C@@H]2C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3
Cyclo(D-Pro-L-Val),CC(C)[C@H]1C(=O)N2CCC[C@@H]2C(=O)N1
"(3S,8aR)-3-[(4-hydroxyphenyl)methyl]-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",C1C[C@@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=C(C=C3)O
Cyclo(glycyltryptophyl),C1C(=O)N[C@H](C(=O)N1)CC2=CNC3=CC=CC=C32
N-acetylhomocystein thiolactone,CC(=O)N[C@H]1CCSC1=O
"(3S,6S)-3,6-bis((1H-Indol-3-yl)methyl)piperazine-2,5-dione",C1=CC=C2C(=C1)C(=CN2)C[C@H]3C(=O)N[C@H](C(=O)N3)CC4=CNC5=CC=CC=C54
N-[2-(4-hydroxyphenyl)ethyl]-2-(1H-indol-3-yl)acetamide,C1=CC=C2C(=C1)C(=CN2)CC(=O)NCCC3=CC=C(C=C3)O
"(3s,6s)-3-(4-Hydroxybenzyl)-6-(1h-Indol-3-Ylmethyl)piperazine-2,5-Dione",C1=CC=C2C(=C1)C(=CN2)C[C@H]3C(=O)N[C@H](C(=O)N3)CC4=CC=C(C=C4)O
"(3S,6R)-3-[(4-hydroxyphenyl)methyl]-6-(1H-indol-3-ylmethyl)piperazine-2,5-dione",C1=CC=C2C(=C1)C(=CN2)C[C@@H]3C(=O)N[C@H](C(=O)N3)CC4=CC=C(C=C4)O
Sparsomycin,CC1=C(C(=O)NC(=O)N1)/C=C/C(=O)N[C@@H](CO)C[S@@](=O)CSC
"3Z-Undecene-5,7,10-triynoic acid",C#CCC#CC#C/C=C\\CC(=O)O
Cyclophostin,CC1=C2[C@H](COC2=O)CO[P@](=O)(O1)OC
Chlorogentisylquinone,C1=C(C(=O)C(=CC1=O)Cl)CO
2-Amino-3-(3-methyl-5-sulfanylimidazol-4-yl)propanoic acid,CN1C=NC(=C1CC(C(=O)O)N)S
Acetophthalidin,CC(=O)C1C2=C(C(=CC(=C2)O)O)C(=O)O1
"methyl 5-[(1S,2S)-1,2-dihydroxypropyl]pyridine-2-carboxylate",C[C@@H]([C@H](C1=CN=C(C=C1)C(=O)OC)O)O
"6-[(1E)-3-methylbuta-1,3-dienyl]-1H-indole-3-carboxylic Acid",CC(=C)/C=C/C1=CC2=C(C=C1)C(=CN2)C(=O)O
Ruakuric acid,CC(=O)C1=C(C2=C(C=C1)OC(CC2OC)C(=O)O)O
Sulphostin,C1C[C@@H](C(=O)N(C1)[P@](=O)(N)NS(=O)(=O)O)N
"(1R,2R,4aS,8aS)-2-[(2R)-2-hydroxybutyl]-1,3-dimethyl-4a,5,6,7,8,8a-hexahydro-2H-naphthalene-1-carboxylic acid",CC[C@H](C[C@@H]1C(=C[C@@H]2CCCC[C@@H]2[C@@]1(C)C(=O)O)C)O
"2-chloro-6,8-dihydroxy-7-propyl-9H-pyrrolo [2,1-b][1,3]benzoxazin-9-one",CCCC1=C(C2=C(C=C1O)OC3=CC(=CN3C2=O)Cl)O
Herquline B,CN1CC2CC3=CC(C4C=C(CCC4=O)CC1CN2)C(=O)CC3
"3-Benzylidene-6-(4'-methoxybenzylidene)piperazine-2,5-dione",COC1=CC=C(C=C1)/C=C\\2/C(=O)N/C(=C\\C3=CC=CC=C3)/C(=O)N2
Topopyrone D,CC1=CC(=O)C2=C(O1)C=C3C(=C2O)C(=O)C4=C(C3=O)C=C(C=C4O)O
Macrosphelide B,CC1CC(=O)OC(C(=O)/C=C/C(=O)OC(C(/C=C/C(=O)O1)O)C)C
Phenylahistin,CC(C)(C=C)C1=C(N=CN1)/C=C\\2/C(=O)N[C@H](C(=O)N2)CC3=CC=CC=C3
Bjerkanderol A,C[C@H]([C@H](C1=CC=C(C=C1)OC)O)O
Herqueinone o Isoherqueinone,CC1C(C2(C(=C3C(=CC(=O)C4=C3C(=C(C(=C4O)OC)O)C2=O)C)O1)O)(C)C
"[7-Hydroxy-6-[(4-methoxyphenyl)methyl]-3-(methylamino)-5-azatricyclo[6.3.1.01,5]dodecan-9-yl] dihydrogen phosphate",CNC1CC23CCC(C(C2)C(C(N3C1)CC4=CC=C(C=C4)OC)O)OP(=O)(O)O
Chrolactomycin,C[C@@H]1CCC[C@H]2C=C([C@H](C[C@@]23[C@H]4[C@](C(=O)C(=C)[C@H](O4)[C@@H](C1)C)(C(=O)O3)OC)C)C(=O)O
"5-bromo-3,8,9-trihydroxy-4'-methoxy-2-methyl-3-propan-2-ylspiro[2H-anthracene-4,5'-furan]-1,2'-dione",CC1C(=O)C2=C(C3=C(C=CC(=C3C=C2C4(C1(C(C)C)O)C(=CC(=O)O4)OC)Br)O)O
(+)-madindoline A,CCCCC1=C(C(=O)[C@@](C1=O)(C)CN2[C@@H]3[C@@](CCO3)(C4=CC=CC=C42)O)C
Unii-BB42CM4HU5,C1[C@@H](CO[C@@H]2C1(OC3=CC=CC(=C3N2)C(=O)O)O)O
Pentenocin B,CC(C1(C=CC(=O)C1O)O)O
Louisianin C,C=CCC1=C2C(=CN=C1)CCC2=O
"1,3-Dihydro-4-methyl-1,5,6,7-isobenzofurantetraol",CC1=C2COC(C2=C(C(=C1O)O)O)O
Curvularol,CC1=C[C@H]2[C@](CC1)([C@]3(C([C@@](O2)(C[C@@]34CO4)O)O)C)C
Calothrixin B,C1=CC=C2C(=C1)C3=C(N2)C(=O)C4=C(C3=O)C=NC5=CC=CC=C54
"(3Z,6Z)-3-Benzylidene-6-(4-methoxybenzylidene)-1-methyl-2,5-piperazinedione",CN1/C(=C\\C2=CC=C(C=C2)OC)/C(=O)N/C(=C\\C3=CC=CC=C3)/C1=O
"(3S)-3,6,8-trihydroxy-3-methyl-2,4-dihydrobenzo[a]anthracene-1,7,12-trione",C[C@@]1(CC2=CC(=C3C(=C2C(=O)C1)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
CID 9820445,C1=CC2=C3C(=C1)OC4([C@H]5[C@H](O5)C(=O)[C@@]67[C@@]4(O6)C(=O)C=C[C@@H]7O)OC3=CC=C2
"3,4-dihydroxy-5-(hydroxymethyl)-3-[(E)-3-(3-nonyloxiran-2-yl)prop-2-enoyl]pyrrolidin-2-one",CCCCCCCCCC1C(O1)/C=C/C(=O)C2(C(C(NC2=O)CO)O)O
Topopyrone A,CC1=CC(=O)C2=C(C=C3C(=C2O1)C(=O)C4=C(C(=C(C=C4C3=O)O)Cl)O)O
Bisabosqual A,CC(=CCC[C@]1([C@@H]2CC[C@]([C@H]3[C@@H]2C4=C(O1)C=C(C(=C4O3)C=O)C=O)(C)O)C)C
8-O-methylsclerotiorinamine,CCC(C)/C=C(\\C)/C=C/C1=CC2=C(C(=O)[C@](C(=C2C=N1)OC)(C)OC(=O)C)Cl
"4-[5-[(3Z,8E,12E)-6-hydroxy-7-methoxy-3,5-dimethyl-14-oxo-1-oxacyclotetradeca-3,8,12-trien-2-yl]-4-oxohexyl]piperidine-2,6-dione",CC1/C=C(\\C(OC(=O)/C=C/CC/C=C/C(C1O)OC)C(C)C(=O)CCCC2CC(=O)NC(=O)C2)/C
"(1S,3R,4R,6Z,7S,8S,10R,11R,13Z,14S)-3,10-dihydroxy-6,13-bis[(2E,4E)-1-hydroxyhexa-2,4-dienylidene]-1,4,8,11-tetramethyl-2,9-dioxapentacyclo[8.4.0.03,8.04,14.07,11]tetradecane-5,12-dione",C/C=C/C=C/C(=C\\1/C(=O)[C@@]2([C@]3(O[C@]4([C@H]2/C(=C(/O)\\C=C\\C=C\\C)/C(=O)[C@@]5([C@]4(O[C@]3([C@@H]15)C)O)C)C)O)C)/O
"2-[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]acetic acid",C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CC(=O)O)O)O
"(2E,4E)-7-[4-(Dimethylamino)phenyl]-N,4,6-trimethyl-7-oxohepta-2,4-dienamide",CC(/C=C(\\C)/C=C/C(=O)NC)C(=O)C1=CC=C(C=C1)N(C)C
"2-(2,3-Dihydroxy-3-methylbutyl)benzene-1,4-diol",CC(C)(C(CC1=C(C=CC(=C1)O)O)O)O
"4-Acetyl-6,8-dihydroxyisochromen-1-one",CC(=O)C1=COC(=O)C2=C1C=C(C=C2O)O
4-(gamma-Glutamylamino)phenol,C1=CC(=CC=C1NC(=O)CC[C@@H](C(=O)O)N)O
"3,4,7a,7b-Tetrahydro-7-[(1,2,4a,5,6,7,8,8a-octahydro-2-methylnaphthalene-1-yl)carbonyl]-7b-hydroxyfuro[2,3,4-gh]pyrrolidine-2,6(2aH,7H)-dione",CC1C=CC2CCCCC2C1C(=O)C3C4C5(C(CCN5C3=O)C(=O)O4)O
ganomycin A,C/C(=C\\CC/C(=C/CC1=C(C=CC(=C1)O)O)/C(=O)O)/CC/C=C(\\C)/CO
Vermixocin A,CC1=CC2=C(C(=C1)O)OC3=C(C(=C(C=C3)C(CC(C)C)O)OC)C(=O)OC2
